Date,Open,High,Low,Close,Adj Close,Volume
5/10/2019,49.35499954,49.71250153,48.19250107,49.29499817,47.69977951,164834800
5/13/2019,46.92750168,47.36999893,45.71250153,46.43000031,44.92749405,229722400
5/14/2019,46.60250092,47.42499924,46.35250092,47.16500092,45.63871384,146118800
5/15/2019,46.56750107,47.9375,46.50500107,47.72999954,46.1854248,106178800
5/16/2019,47.47750092,48.11750031,47.20999908,47.52000046,45.98221588,132125600
5/17/2019,46.73249817,47.72499847,46.68999863,47.25,45.7209549,131516400
5/20/2019,45.88000107,46.08750153,45.06999969,45.77249908,44.29127884,154449200
5/21/2019,46.30500031,47,46.17499924,46.65000153,45.14037323,113459200
5/22/2019,46.16500092,46.42750168,45.63750076,45.69499969,44.21628189,118994400
5/23/2019,44.95000076,45.13499832,44.45249939,44.91500092,43.46152496,146118800
5/24/2019,45.04999924,45.53499985,44.65499878,44.74250031,43.29460144,94858800
5/28/2019,44.72999954,45.14749908,44.47750092,44.55749893,43.11559296,111792800
5/29/2019,44.10499954,44.83750153,44,44.34500122,42.90997696,113924800
5/30/2019,44.48749924,44.80749893,44.16749954,44.57500076,43.13253021,84873600
5/31/2019,44.05749893,44.49750137,43.74750137,43.76750183,42.35115814,108174400
6/3/2019,43.90000153,44.47999954,42.56750107,43.32500076,41.92297363,161584400
6/4/2019,43.86000061,44.95750046,43.63000107,44.90999985,43.45668411,123872000
6/5/2019,46.06999969,46.24750137,45.28499985,45.63499832,44.15821457,119093600
6/6/2019,45.77000046,46.36750031,45.53749847,46.30500031,44.80654526,90105200
6/7/2019,46.62749863,47.97999954,46.44250107,47.53749847,45.99914551,122737600
6/10/2019,47.95249939,48.84249878,47.90499878,48.14500046,46.58699799,104883600
6/11/2019,48.71500015,49,48.40000153,48.70249939,47.12646484,107731600
6/12/2019,48.48749924,48.99250031,48.34749985,48.54750061,46.97647095,73012800
6/13/2019,48.67499924,49.19749832,48.40000153,48.53749847,46.96679688,86698400
6/14/2019,47.88750076,48.39749908,47.57500076,48.18500137,46.6257019,75046000
6/17/2019,48.22499847,48.74000168,48.04249954,48.47249985,46.90389633,58676400
6/18/2019,49.01250076,50.07249832,48.80250168,49.61249924,48.0070076,106204000
6/19/2019,49.91999817,49.97000122,49.32749939,49.46749878,47.86670303,84496800
6/20/2019,50.09249878,50.15250015,49.50749969,49.86500168,48.25133514,86056000
6/21/2019,49.70000076,50.21250153,49.53749847,49.69499969,48.08683777,191202400
6/24/2019,49.63499832,50.04000092,49.54249954,49.64500046,48.03845978,72881600
6/25/2019,49.60749817,49.81499863,48.82249832,48.89250183,47.31030655,84281200
6/26/2019,49.44250107,50.24750137,49.33750153,49.95000076,48.33359146,104270000
6/27/2019,50.07249832,50.39250183,49.89250183,49.93500137,48.31906891,83598800
6/28/2019,49.66999817,49.875,49.26250076,49.47999954,47.87879562,124442400
7/1/2019,50.79249954,51.12250137,50.16249847,50.38750076,48.75693893,109012000
7/2/2019,50.35250092,50.78250122,50.34000015,50.68249893,49.04238129,67740800
7/3/2019,50.81999969,51.11000061,50.67250061,51.10250092,49.44878387,45448000
7/5/2019,50.83750153,51.27000046,50.72499847,51.05749893,49.40525436,69062000
7/8/2019,50.20249939,50.34999847,49.60250092,50.00500107,48.38680649,101354400
7/9/2019,49.79999924,50.37749863,49.70249939,50.31000137,48.68193436,82312000
7/10/2019,50.46250153,50.93249893,50.38999939,50.80749893,49.16333771,71588400
7/11/2019,50.82749939,51.09749985,50.42750168,50.4375,48.8053093,80767200
7/12/2019,50.61249924,51,50.54999924,50.82500076,49.18027115,70380800
7/15/2019,51.02249908,51.46749878,51,51.30250168,49.64232254,67789600
7/16/2019,51.14749908,51.52750015,50.875,51.125,49.47056198,67467200
7/17/2019,51.01250076,51.27249908,50.81750107,50.83750153,49.19236755,56430000
7/18/2019,51,51.47000122,50.92499924,51.41500092,49.75117874,74162400
7/19/2019,51.44749832,51.625,50.59000015,50.64749908,49.00850677,83717200
7/22/2019,50.91249847,51.80749893,50.90250015,51.80500031,50.12855911,89111600
7/23/2019,52.11500168,52.22750092,51.82249832,52.20999908,50.52045059,73420800
7/24/2019,51.91749954,52.28749847,51.79249954,52.16749954,50.47933578,59966400
7/25/2019,52.22249985,52.31000137,51.68249893,51.75500107,50.08018112,55638400
7/26/2019,51.86999893,52.43249893,51.78499985,51.93500137,50.25435257,70475600
7/29/2019,52.11500168,52.65999985,52.11000061,52.41999817,50.72365952,86693600
7/30/2019,52.18999863,52.54000092,51.82749939,52.19499969,50.50593567,135742800
7/31/2019,54.10499954,55.34249878,52.82500076,53.25999832,51.53647995,277125600
8/1/2019,53.47499847,54.50749969,51.68500137,52.10749817,50.42126846,216071600
8/2/2019,51.38249969,51.60749817,50.40750122,51.00500107,49.35445023,163448400
8/5/2019,49.49750137,49.66249847,48.14500046,48.33499908,46.77084351,209572000
8/6/2019,49.07749939,49.51750183,48.50999832,49.25,47.65623856,143299200
8/7/2019,48.85250092,49.88999939,48.45500183,49.75999832,48.14974594,133457600
8/8/2019,50.04999924,50.88249969,49.84749985,50.85749817,49.21172333,108038000
8/9/2019,50.32500076,50.68999863,49.82249832,50.24750137,48.80619812,98478800
8/12/2019,49.90499878,50.51250076,49.78749847,50.11999893,48.68235016,89927600
8/13/2019,50.25500107,53.03499985,50.11999893,52.24250031,50.74397278,188874000
